Sat. Num,Sat. Name,Item #,Launch Date,Epoch Date,Epoch Time,SMA,eccentricity,inclination,RAAN,Arg. Perigee,True Anomaly,Period,Perigee Altitude,Apogee Altitude,Country,Purpose,Status
00202,TRANSIT 4B,1,1961-11-15,2018-11-21,1:6:26.461,7401.064,0.01007,32.4358,168.381,96.334,263.728,105.61,948.364,1097.494,US,Navigation,Unknown,
00204,THOR ABLESTAR R,3,1961-11-15,2018-11-20,22:54:7.268,7396.213,0.00987,32.4418,254.881,148.341,211.721,105.51,945.059,1091.097,US,Unknown,Unknown,
00205,TRAAC,2,1961-11-15,2018-11-20,22:45:53.650,7405.113,0.01023,32.4420,297.087,256.619,103.443,105.70,951.213,1102.744,US,Engineer,Unknown,
00210,THOR ABLESTAR D,57,1961-06-29,2018-11-20,23:16:55.070,7321.400,0.00544,66.4579,326.353,249.411,110.696,103.91,903.408,983.122,US,Unknown,Unknown,
00223,THOR ABLESTAR D,63,1961-06-29,2018-11-20,21:19:14.974,7311.611,0.00641,66.8892,185.394,140.939,219.169,103.70,886.581,980.370,US,Unknown,Unknown,
00224,THOR ABLESTAR D,64,1961-06-29,2018-11-21,5:17:10.108,7244.983,0.00683,66.7365,291.712,189.435,261.201,102.29,817.385,916.312,US,Unknown,Unknown,
00225,THOR ABLESTAR D,65,1961-06-29,2018-11-20,22:22:7.689,7165.649,0.01058,66.8002,292.174,130.459,229.651,100.61,711.686,863.342,US,Unknown,Unknown,
00226,TIROS 4,1,1962-02-08,2018-11-20,20:17:24.766,7118.079,0.00780,48.2963,267.230,33.902,326.188,99.61,684.451,795.436,US,Earth Sci,Inactive,
00227,DELTA 1 DEB,2,1962-02-08,2018-11-20,12:31:20.113,7142.610,0.01321,48.1465,142.743,208.878,151.211,100.13,670.118,858.832,US,Unknown,Unknown,
00228,DELTA 1 DEB,3,1962-02-08,2018-11-20,11:19:25.739,6942.075,0.00156,48.4297,88.660,263.150,96.943,95.94,553.084,574.797,US,Unknown,Unknown,
00230,THOR ABLESTAR D,66,1961-06-29,2018-11-21,5:24:1.426,7285.575,0.00934,66.8845,359.837,2.028,358.080,103.15,839.389,975.492,US,Unknown,Unknown,
00232,THOR ABLESTAR D,69,1961-06-29,2018-11-20,21:26:24.380,7274.717,0.00644,66.8210,220.601,274.371,85.738,102.92,849.738,943.426,US,Unknown,Unknown,
00233,THOR ABLESTAR D,70,1961-06-29,2018-11-21,9:5:28.171,7068.461,0.00284,66.8503,295.444,155.596,204.515,98.57,670.266,710.387,US,Unknown,Unknown,
00234,THOR ABLESTAR D,71,1961-06-29,2018-11-20,21:57:33.516,7264.559,0.00739,66.8758,187.773,334.958,25.150,102.70,832.754,940.093,US,Unknown,Unknown,
00235,THOR ABLESTAR D,72,1961-06-29,2018-11-21,5:36:-0.139,7242.549,0.01719,66.9559,353.550,252.884,107.225,102.23,739.885,988.943,US,Unknown,Unknown,
00243,THOR ABLESTAR D,77,1961-06-29,2018-11-21,3:36:18.402,7282.423,0.00239,66.4641,96.727,52.213,307.895,103.08,886.918,921.659,US,Unknown,Unknown,
00244,THOR ABLESTAR D,78,1961-06-29,2018-11-20,22:0:40.519,7290.744,0.00762,66.8398,176.976,250.839,109.270,103.26,857.081,968.138,US,Unknown,Unknown,
00245,THOR ABLESTAR D,79,1961-06-29,2018-11-21,4:38:16.536,7225.339,0.00555,66.0682,203.232,0.013,0.096,101.87,807.109,887.300,US,Unknown,Unknown,
00246,THOR ABLESTAR D,80,1961-06-29,2018-11-20,15:3:7.686,7321.706,0.00722,66.8708,29.804,282.684,77.424,103.91,890.688,996.454,US,Unknown,Unknown,
00252,THOR ABLESTAR D,82,1961-06-29,2018-11-21,3:51:30.160,7355.896,0.00497,67.0784,223.897,69.946,40.957,104.64,941.191,1014.331,US,Unknown,Unknown,
00253,THOR ABLESTAR D,83,1961-06-29,2018-11-20,19:45:36.641,7073.383,0.00307,66.9295,112.239,194.598,165.514,98.67,673.568,716.928,US,Unknown,Unknown,
00254,THOR ABLESTAR D,84,1961-06-29,2018-11-20,19:35:40.411,7130.158,0.00700,66.7759,109.342,9.199,350.912,99.86,702.109,801.937,US,Unknown,Unknown,
00260,THOR ABLESTAR D,85,1961-06-29,2018-11-20,8:23:52.496,7155.834,0.00476,66.7705,300.053,18.684,341.427,100.40,743.657,811.741,US,Unknown,Unknown,
